utility_id,year,ctu_id,customer_class_id,mwh_per_year,number_of_customers
85,2015,2393579,11,15.512,NULL
85,2015,2393579,1,384.63,36
85,2015,2393579,5,400.142,36
85,2015,2393601,9,31.447,NULL
85,2015,2393601,11,66.621,NULL
85,2015,2393601,8,2907.16,86
85,2015,2393601,1,4816.974,563
85,2015,2393601,5,7822.202,649
85,2015,2393607,9,14.178,NULL
85,2015,2393607,10,53.333,NULL
85,2015,2393607,11,550.964,NULL
85,2015,2393607,7,47715.965,679
85,2015,2393607,1,52481.903,8230
85,2015,2393607,5,100816.343,8909
85,2015,2393610,5,NULL,NULL
85,2015,2393628,10,242.209,NULL
85,2015,2393628,9,41.321,NULL
85,2015,2393628,11,583.974,NULL
85,2015,2393628,1,53451.024,7313
85,2015,2393628,7,142423.527,750
85,2015,2393628,5,196742.055,8063
85,2015,2393634,9,4.282,NULL
85,2015,2393634,11,5.989,NULL
85,2015,2393634,7,3204.928,93
85,2015,2393634,1,6362.568,499
85,2015,2393634,5,9577.767,592
85,2015,2393644,11,181.055,NULL
85,2015,2393644,10,606.013,NULL
85,2015,2393644,9,628.512,NULL
85,2015,2393644,8,89264.701,832
85,2015,2393644,1,112227.734,12306
85,2015,2393644,5,202908.015,13138
85,2015,2393683,9,170.362,NULL
85,2015,2393683,10,60.129,NULL
85,2015,2393683,11,388.866,NULL
85,2015,2393683,7,48214.278,868
85,2015,2393683,1,64665.132,9561
85,2015,2393683,5,113498.767,10429
85,2015,2393762,11,119.377,NULL
85,2015,2393762,8,1137.164,113
85,2015,2393762,1,15678.584,1389
85,2015,2393762,5,16935.125,1502
85,2015,2393784,10,0.845,NULL
85,2015,2393784,11,92.554,NULL
85,2015,2393784,8,1522.036,62
85,2015,2393784,1,11453.835,1198
85,2015,2393784,5,13069.27,1260
85,2015,2393797,11,186.163,NULL
85,2015,2393797,9,53.054,NULL
85,2015,2393797,10,796.155,NULL
85,2015,2393797,7,33601.938,406
85,2015,2393797,1,53466.1,6090
85,2015,2393797,5,88103.41,6496
85,2015,2393799,9,232.489,NULL
85,2015,2393799,10,395.327,NULL
85,2015,2393799,11,466.6,NULL
85,2015,2393799,1,72682.482,7011
85,2015,2393799,7,194140.253,1012
85,2015,2393799,5,267917.151,8023
85,2016,665712,8,663.867,44
85,2016,665712,1,11394.188,883
85,2016,665712,5,12058.055,927
85,2016,665860,8,NULL,NULL
85,2016,665860,1,384.821,31
85,2016,665860,5,384.821,31
85,2016,665887,8,233.433,47
85,2016,665887,11,57.265,NULL
85,2016,665887,1,5088.787,350
85,2016,665887,5,5379.485,397
85,2016,665929,9,0.878,NULL
85,2016,665929,11,2.202,NULL
85,2016,665929,8,809.242,36
85,2016,665929,1,1092.743,102
85,2016,665929,5,1905.065,138
85,2016,665931,9,7.728,NULL
85,2016,665931,8,848.712,61
85,2016,665931,1,5820.515,419
85,2016,665931,5,6676.955,480
85,2016,665966,9,2.795,NULL
85,2016,665966,7,4303.938,84
85,2016,665966,1,18687.68,1360
