ctu_name,ctu_id,year,utility_id,customer_class_name,customer_class_id,number_of_customers,mwh_per_year
Robbinsdale,2396388,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,226770
Robbinsdale,2396388,2015,85,Total,5,6689,68664899.73
Rogers,2396415,2015,85,Business,7,537,122019950
Rogers,2396415,2015,85,Residential,1,2604,24047320
Rogers,2396415,2015,85,Street Lighting - Metered,9,,97485
Rogers,2396415,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,29952
Rogers,2396415,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,289073
Rogers,2396415,2015,85,Total,5,3141,146483780
Rosemount,2396433,2015,85,Business *,8,766,108414191
Rosemount,2396433,2015,85,Residential,1,5392,46723340
Rosemount,2396433,2015,85,Street Lighting - Metered,9,,70957
Rosemount,2396433,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,86887
Rosemount,2396433,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,530856
Rosemount,2396433,2015,85,Total,5,6158,155826231
Roseville,2396435,2015,85,Business *,8,2224,321101279.5
Roseville,2396435,2015,85,Residential,1,15306,99127566.42
Roseville,2396435,2015,85,Street Lighting - Metered,9,,706795
Roseville,2396435,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,230436
Roseville,2396435,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,601746
Roseville,2396435,2015,85,Total,5,17530,421767822.9
Saint Anthony,2396471,2015,85,Business,7,403,38126477.01
Saint Anthony,2396471,2015,85,Residential,1,3940,24238801.02
Saint Anthony,2396471,2015,85,Street Lighting - Metered,9,,8361
Saint Anthony,2396471,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,58074
Saint Anthony,2396471,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,170622
Saint Anthony,2396471,2015,85,Total,5,4343,62602335.03
Saint Louis Park,2396500,2015,85,Business,7,2337,344571005.3
Saint Louis Park,2396500,2015,85,Residential,1,23249,140165535.1
Saint Louis Park,2396500,2015,85,Street Lighting - Metered,9,,1224765.63
Saint Louis Park,2396500,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,764144
Saint Louis Park,2396500,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,523870
Saint Louis Park,2396500,2015,85,Total,5,25586,487249320.1
Saint Paul,2396511,2015,85,Business,7,12736,2035336387
Saint Paul,2396511,2015,85,Residential,1,115160,676888301.2
Saint Paul,2396511,2015,85,Street Lighting - Metered,9,,4103384
Saint Paul,2396511,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,12900577
Saint Paul,2396511,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,1077730
Saint Paul,2396511,2015,85,Total,5,127896,2730306379
Shoreview,2395876,2015,85,Commercial,2,587,29091961
Shoreview,2395876,2015,85,Industrial,3,111,115957879
Shoreview,2395876,2015,85,Residential,1,11092,85510116.04
Shoreview,2395876,2015,85,Street Lighting - Metered,9,,149941
Shoreview,2395876,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,401107
Shoreview,2395876,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,445305
Shoreview,2395876,2015,85,Total,5,11790,231556309
Victoria,2397135,2015,85,Business,7,184,9082144
Victoria,2397135,2015,85,Residential,1,1593,17786536
Victoria,2397135,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,1973
Victoria,2397135,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,126036
Victoria,2397135,2015,85,Total,5,1777,26996689
White Bear Lake,2397299,2015,85,Business,7,1152,103143537.1
White Bear Lake,2397299,2015,85,Residential,1,10469,75018998.81
White Bear Lake,2397299,2015,85,Street Lighting - Metered,9,,55082
White Bear Lake,2397299,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,278711
White Bear Lake,2397299,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,466580
White Bear Lake,2397299,2015,85,Total,5,11621,178962908.9
Woodbury,2397369,2015,85,Commercial,2,1925,119688008
Woodbury,2397369,2015,85,Industrial,3,292,145848322
Woodbury,2397369,2015,85,Residential,1,25566,228856225
Woodbury,2397369,2015,85,Street Lighting - Metered,9,,253087
Woodbury,2397369,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,99619
Woodbury,2397369,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,1709988
Woodbury,2397369,2015,85,Total,5,27783,496455249.1
Apple Valley,2393967,2016,85,Business *,8,,
Apple Valley,2393967,2016,85,Residential,1,,
Apple Valley,2393967,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,5109
Apple Valley,2393967,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,10988
Apple Valley,2393967,2016,85,Total,5,0,16097
Belle Plaine,2394113,2016,85,Business *,8,275,14488855
Belle Plaine,2394113,2016,85,Residential,1,2517,21264302
Belle Plaine,2394113,2016,85,Street Lighting - Metered,9,,14702
Belle Plaine,2394113,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,14064
Belle Plaine,2394113,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,331217
Belle Plaine,2394113,2016,85,Total,5,2792,36113140
Blaine,2394183,2016,85,Business *,8,431,79517219
Blaine,2394183,2016,85,Residential,1,3009,24082421
Blaine,2394183,2016,85,Street Lighting - Metered,9,,52975
Blaine,2394183,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,65233
Blaine,2394183,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,133153
Blaine,2394183,2016,85,Total,5,3440,103851001
Bloomington,2394198,2016,85,Business,7,3821,1087128104
Bloomington,2394198,2016,85,Residential,1,38495,265214769
Bloomington,2394198,2016,85,Street Lighting - Metered,9,,1242608
Bloomington,2394198,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,1177022
Bloomington,2394198,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,1731763
Bloomington,2394198,2016,85,Total,5,42316,1356494266
Brooklyn Center,2393428,2016,85,Business,7,1007,144187246
Brooklyn Center,2393428,2016,85,Residential,1,11246,77705177.98
Brooklyn Center,2393428,2016,85,Street Lighting - Metered,9,,601239
Brooklyn Center,2393428,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,135160
Brooklyn Center,2393428,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,576928
Brooklyn Center,2393428,2016,85,Total,5,12253,223205751
Brooklyn Park,2393429,2016,85,Commercial,2,2186,163366381.9
Brooklyn Park,2393429,2016,85,Industrial,3,409,237563009
Brooklyn Park,2393429,2016,85,Residential,1,29095,220109511
Brooklyn Park,2393429,2016,85,Street Lighting - Metered,9,,722990
Brooklyn Park,2393429,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,793015
Brooklyn Park,2393429,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,1655748
Brooklyn Park,2393429,2016,85,Total,5,31690,624210655
Burnsville,2393472,2016,85,Commercial,2,926,40462700
Burnsville,2393472,2016,85,Industrial,3,332,64943537
Burnsville,2393472,2016,85,Residential,1,5700,39048989.01
Burnsville,2393472,2016,85,Street Lighting - Metered,9,,109647
Burnsville,2393472,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,22488
Burnsville,2393472,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,283635
Burnsville,2393472,2016,85,Total,5,6958,144870996
Cologne,2393601,2016,85,Business *,8,84,2867139
Cologne,2393601,2016,85,Residential,1,568,4832702
Cologne,2393601,2016,85,Street Lighting - Metered,9,,5793
Cologne,2393601,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,64950
Cologne,2393601,2016,85,Total,5,652,7770584
Columbia Heights,2393607,2016,85,Business,7,682,46903562
Columbia Heights,2393607,2016,85,Residential,1,8243,52174942.96
Columbia Heights,2393607,2016,85,Street Lighting - Metered,9,,14054
Columbia Heights,2393607,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,53145
Columbia Heights,2393607,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,550450
Columbia Heights,2393607,2016,85,Total,5,8925,99696153.96
Coon Rapids,2393628,2016,85,Business *,8,742,118986351
Coon Rapids,2393628,2016,85,Residential,1,7318,53610455
Coon Rapids,2393628,2016,85,Street Lighting - Metered,9,,27678
Coon Rapids,2393628,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,247510
Coon Rapids,2393628,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,597535
Coon Rapids,2393628,2016,85,Total,5,8060,173469529
Cottage Grove,2393644,2016,85,Business *,8,825,91766810.94
Cottage Grove,2393644,2016,85,Residential,1,12397,113428953.9
Cottage Grove,2393644,2016,85,Street Lighting - Metered,9,,583597
Cottage Grove,2393644,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,606012
Cottage Grove,2393644,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,181057
Cottage Grove,2393644,2016,85,Total,5,13222,206566430.9
Crystal,2393683,2016,85,Business,7,858,46707530.61
Crystal,2393683,2016,85,Residential,1,9575,64636940
Crystal,2393683,2016,85,Street Lighting - Metered,9,,160554
Crystal,2393683,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,59927
Crystal,2393683,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,387650
Crystal,2393683,2016,85,Total,5,10433,111952601.6
Eagan,2394586,2016,85,Business,7,1100,324488099
Eagan,2394586,2016,85,Residential,1,4408,29143837
Eagan,2394586,2016,85,Street Lighting - Metered,9,,232336
Eagan,2394586,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,3932
Eagan,2394586,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,220764
Eagan,2394586,2016,85,Total,5,5508,354088968
Eden Prairie,2394614,2016,85,Commercial,2,2295,158645724.8
Eden Prairie,2394614,2016,85,Industrial,3,675,399154318
Eden Prairie,2394614,2016,85,Residential,1,23961,204387780
Eden Prairie,2394614,2016,85,Street Lighting - Metered,9,,944176
Eden Prairie,2394614,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,151243
Eden Prairie,2394614,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,2352729
Eden Prairie,2394614,2016,85,Total,5,26931,765635970.8
Edina,2394621,2016,85,Commercial,2,1925,137252636
Edina,2394621,2016,85,Industrial,3,396,238129470
Edina,2394621,2016,85,Residential,1,21746,198654509
Edina,2394621,2016,85,Street Lighting - Metered,9,,620758
Edina,2394621,2016,85,Street Lighting - Non-Metered/Customer Owned,10,,298296
Edina,2394621,2016,85,Street Lighting - Non-Metered/Xcel-Owned,11,,1157280
Edina,2394621,2016,85,Total,5,24067,576112949
